ID;Organisme;Titre;Lieu;Type_contrat;Debut_emploi;Limite_date_cv;Date_depot_offre;Synthese;URL_offre
Arvalis_Stage_Cameline;Arvalis;Stage Cameline;Lieu : Baziège (31);Stage(6mois);Mars 2022;;13/10/2021;;https://www.arvalisinstitutduvegetal.fr/file/arvoffresdemploi/pj/e1/49/55/6c/cameline1739891177735614134.pdf
Arvalis_CDI_Ingénieur_agronome_gestion_des_sols;Arvalis;CDI Ingénieur agronome gestion des sols;Lieu : Le Magneraud (17) ou Baziège (31) ou Villers Saint Christophe (02) ou Boigneville (91);CDI;Dès que possible;;13/10/2021;;https://www.arvalisinstitutduvegetal.fr/file/arvoffresdemploi/pj/b9/89/66/a7/poste_ingenieur%20sol_cdi5611782600763503937.pdf
Arvalis_CDD_Technicien_Céréales_11_mois;Arvalis;CDD Technicien Céréales 11 mois;Lieu : Montans (81);CDD(11mois);Dès que possible;;13/10/2021;;https://www.arvalisinstitutduvegetal.fr/file/arvoffresdemploi/pj/8d/4a/59/6c/cddmontans2021-4316480150699790599.pdf
MANGEZ_BIO_ISÈRE_APPROVISIONNEUR-EUSE_-_CHARGÉ-E_DE_FILIÈRE_F/H;MANGEZ BIO ISÈRE;APPROVISIONNEUR-EUSE - CHARGÉ-E DE FILIÈRE F/H; 38 Isère;CDI;;;Publiée le 13-10-2021;Coopérative de distribution de produits bio locaux rassemblant 60 agriculteurs et transformateurs bio et 20 salariés. APPROVISIONNEMENT ET RELATIONS FOURNISSEURS FILIERE VIANDE (60% du temps)Relations fournisseurs, mise à jour de l'offre, gestion réappro, ajustement et aléas de commandes. DEVELOPPEMENT FILIERE (40%)Relations partenaires agricoles, veille évolutions tissu agricole local, participation aux projets de structuration filière, à l'animation du collège producteur de la scic, à la planification/contractualisation.;https://emploi.apecita.com/143340_offre-emploi-approvisionneureuse-chargee-de-filiere-fh.html
MOY_PARK_-_FLEURY_LES_AUBRAIS_CEDEX_RESPONSABLE_FILIERE_VOLAILLE_F/H;MOY PARK - FLEURY LES AUBRAIS CEDEX;RESPONSABLE FILIERE VOLAILLE F/H; France métropolitaine;CDI;;;Publiée le 13-10-2021;Moy Park France, c'est - Un acteur français de référence de la transformation de viandes de volaille.- Une division de Moy Park ltd, numéro 1 de la volaille au Royaume Uni, de l'élevage à l'abattage.- Avec plus 30 ans d'expérience- Plus de 45 000 tonnes de production chaque année- Le fournisseur des leaders de la restauration commerciale et du food service.Missions - Accompagner les orientations stratégiques en lien avec les enjeux environnement et bien-être animal en support aux services commerciaux et aux principaux clients.- Travailler avec nos partenaires de la filière volaille pour identifier, définir, tester et mettre en oeuvre des solutions innovantes en élevage.- Suivre des programmes/projets menés dans le cadre de la Stratégie Filières Durables appliquée à la filière volaille sur le territoire français.- Suivre une veille active en matière d'évolutions réglementaires, techniques, scientifiques en matière de qualité, de bien-être et d'environnement sur la filière volaille.;https://emploi.apecita.com/143458_offre-emploi-responsable-filiere-volaille-fh.html
FÉDÉRATION_DES_CUMA_DE_BOURGOGNE_FRANCHE-COMTE_CHARGE_DE_MISSION_PROJETS_INNOVANTS_F/H;FÉDÉRATION DES CUMA DE BOURGOGNE FRANCHE-COMTE;CHARGE DE MISSION PROJETS INNOVANTS F/H; 21 CôtedOr;CDI;;;Publiée le 13-10-2021;Rejoignez-nous pour un métier qui a du sens et qui permettra de développer l'impact des CUMA sur le territoire !La Fédération CUMA Bourgogne Franche-Comté, structure associative implantée sur l'ensemble du territoire, fédère 785 CUMA regroupant 15000 adhérents, avec un chiffre d'affaires global de 30 millions d'euros. Reconnue par les CUMA, l'équipe de 18 collaborateurs, répartie sur 7 bureaux, leur apporte des services efficaces et pertinents, permettant de développer les compétences et les coopérations, de favoriser les échanges de pratiques entre elles.Nous créons le poste de chargé de mission projets innovants pour répondre aux évolutions des besoins des CUMA, dans un contexte de changement de leur environnement. Sous la responsabilité du directeur, vous développez, pilotez et gérez sur le plan opérationnel des projets innovants et des DINA CUMA sur la région, dans le respect de la stratégie de l'association.Vos missions- DévelopperVous êtes en veille afin d'appréhender les futurs enjeux de l'agriculture (changement de pratique et de technique, agroécologie, énergie, circuits courts, réponses aux changements climatiques...), en lien avec la FNCUMA, les organismes financeurs et l'équipe de conseillers animateurs. Après étude de pertinence et validation de la direction, vous montez les dossiers de réponse à appel à projet.- PiloterVous fédérez l'équipe de conseillers animateurs autour des projets  vous mettez en place des outils utiles, vous apportez un appui méthodologique, opérationnel et technique en fonction des besoins  en lien avec les financeurs, vous assurez le suivi financier et le reporting des projets menés et réalisez les rapports d'étape et le compte rendu final.- AnimerAu service de chacun des groupes qui vous sont confiés, vous apportez les informations utiles, vous aidez à la clarification du projet et à son cadrage, vous animez des réunions et apportez un appui dans la réalisation, avec l'intervention d'experts si besoin.Vous exercerez cette fonction dans le respect des valeurs de service de proximité, d'entraide et de solidarité, portées par notre conseil d'administration et l'équipe.;https://emploi.apecita.com/142650_offre-emploi-charge-de-mission-projets-innovants-fh.html
ARVALIS_INSTITUT_DU_VEGETAL_INGÉNIEUR_AGRONOME_:_CONNAISSANCE_ET_GESTION_DURABLE_DES_SOLS_F/H;ARVALIS INSTITUT DU VEGETAL;INGÉNIEUR AGRONOME : CONNAISSANCE ET GESTION DURABLE DES SOLS F/H; 17 CharenteMaritime;CDI;;;Publiée le 13-10-2021;Arvalis-Institut du végétal est un institut technique agricole.Arvalis apporte un appui aux agriculteurs et fournit aux entreprises de développement et de conseil un ensemble de références techniques en concevant notamment des outils d'aide à la décision facilitant le pilotage des exploitations productrices de grandes cultures et de fourrages.Le contexte L'activité du pôle Agronomie de l'institut couvre des domaines variés fertilisation minérale et organique (dont les impacts environnementaux), stockage de carbone dans les sols, gestion quantitative de l'eau, fertilité du sol et caractérisation de ses propriétés. Le pôle est piloté dans un esprit de transversalité des approches et des questionnements, et d'opérationnalité des solutions proposées. A ce titre l'expérimentation au champ associée à la modélisation des processus et des décisions est un outil privilégié de construction d'outils d'aide à la décision.Sous la responsabilité du chef de pôle vous contribuerez aux travaux de l'équipe Sol, qui construit des références et outils dédiés à la gestion durable des sols. L'activité centrale concerne la caractérisation agronomique des sols, notamment l'évaluation de ses fertilités chimique, physique et biologique, ainsi que la prise en compte des enjeux liés à la matière organique. Ces connaissances doivent ensuite être valorisées et transférées dans une optique de gestion opérationnelle des systèmes de culture (fertilisation, évaluation des performances environnementales, ...). Cette mission passe notamment par la gestion de la base sol de l'institut, valorisée par un grand nombre d'outils d'aide à la décision (OAD).En tant qu'expert technique Vous assurez la conduite de projets de R&D en veillant tout particulièrement à orienter leurs livrables vers les différents domaines de valorisation de l'Institut (formation, écrit et oral, outils d'aide à la décision, ...) en développant les partenariats dans la sphère de la recherche et du développement.Vous assurez une veille technologique et scientifique constante dans vos domaines d'expertise, via notamment la veille bibliographique et la participation à des colloques/manifestations nationales et internationales.Vous êtes un des garants de l'excellence méthodologique de votre domaine d'expertise incluant les modes d'acquisition des données, leurs traitements et leur valorisation.;https://emploi.apecita.com/143447_offre-emploi-ingenieur-agronome-connaissance-et-gestion-durable-des-sols-fh.html
SEMAE_PARIS_(EX_GNIS)_AGENT_TECHNIQUE_POLYVALENT_F/H;SEMAE PARIS (EX GNIS);AGENT TECHNIQUE POLYVALENT F/H; 59 Nord;CDD;;;Publiée le 13-10-2021;PRESENTATION DE SEMAESEMAE est l'interprofession française des semences et plants. Elle réunit la totalité des acteurs de cette filière d'excellence puisque la France est le premier producteur européen et le premier exportateur mondial de semences agricoles.Comme toute interprofession SEMAE a un rôle important d'animation au sein de la filière, de garantie du bon approvisionnement des agriculteurs et des jardiniers, et de représentation auprès des pouvoirs publics français et européens.SEMAE a par ailleurs, à travers un service dédié, une mission de service public concernant le contrôle de la qualité et la certification des semences et plants  elle a aussi une délégation de service public sur le contrôle phytosanitaire de ces mêmes semences et plants.SEMAE vient d'adopter un important projet stratégique pour les années à venir, marqué par sa volonté d'ouverture, de transparence, de transversalité, et de services rendus à la filière.Depuis le 27 janvier 2021, l'interprofession des semences et plants est donc devenue  SEMAE, l'interprofession de toutes les semences et de tous leurs usages.SEMAE porte un engagement fort de ses collaborateurs autour des valeurs partagées de cette filière- solidarité, entre les acteurs de la filière et les différentes espèces,- ouverture, aux évolutions et aux enjeux de la société,- innovation, c'est l'ADN de cette filière,- responsabilité, les semences sont le premier maillon de la chaîne alimentaire,Pour mettre en oeuvre ce projet dans les meilleures conditions possibles, SEMAE a décidé de réorganiser sa gouvernance et ses principales directions.RÔLE ET MISSIONS DU POSTERÔLE- Gestion et impression d'étiquettes- Prélèvements d'échantillons de lots de semences dans des entreprises de la région- Réalisation d'analyses sur semences de céréales-    Appui administratif à la délégation régionale sur différente missions.MISSIONS & RESPONSABILITÉS DU POSTE- Assurer la gestion, l'impression et les expéditions d'étiquettes officielles de certification.- Gérer les commandes et les stocks relatifs au matériel pour la région- Réceptionner, contrôler et stocker les livraisons- Gérer les stocks et inventaires- Reporter régulièrement tout dysfonctionnement rencontré dans l'exécution de ses missionsMISSIONS COMPLEMENTAIRES SPECIFIQUES- Prélèvement d'échantillons de semences en vue de la certification ou dans d'autres cadres- Appui à la délégation régionale pour la réalisation de contrôles visuels d'échantillons de lots de céréalesAutres missions complémentaires- Assurer différentes missions administratives et logistiques en lien avec les activités de la délégation régionale  expédition de colis, appui ponctuel à la préparation de stages, de salons, à des opérations de communication;https://emploi.apecita.com/143467_offre-emploi-agent-technique-polyvalent-fh.html
APECITA_ECONOMISTE,_SCIENCES_DE_GESTION,_CHARGÉ.E_D'ANIMATION_ET_DE_COORDINATION_DE_PROJET_RECHERCHE_F-H_F/H;APECITA;ECONOMISTE, SCIENCES DE GESTION, CHARGÉ.E D'ANIMATION ET DE COORDINATION DE PROJET RECHERCHE F-H F/H; 34 Hérault;CDD;;;Publiée le 13-10-2021;Orga R&DDans cadre projet Fracture Numérique Gestion projet - Programmer, suivre et contrôler déroulement activités- Contribuer à rédaction rapport technique annuel- Participer au contrôle des dépensesRecherche et animation scientifique - Appui à certaines activités R&D- Coordonner analyses transversales et comparatives entre les situations étudiées- Contribuer à organiser échanges scientifiques réguliers;https://emploi.apecita.com/143438_offre-emploi-economiste-sciences-de-gestion-chargee-danimation-et-de-coordination-de-projet-recherche-fh-fh.html
APECITA_FORMATEUR_EN_MARAICHAGE_F/H;APECITA;FORMATEUR EN MARAICHAGE  F/H; 44 LoireAtlantique;CDI;;;Publiée le 13-10-2021;Coordonner, concevoir et animer des séquences de formation autour de la conduite technique du maraichage, agronomie, physiologie végétale, gestion technico économique d'une entreprise agri, projet installation... + accompagner les porteurs de projets + associer les professionnels dans les formations.;https://emploi.apecita.com/143353_offre-emploi-formateur-en-maraichage-fh.html
